hotel_name,hotel_cityname,hotel_countryname,hotel_starrating,hotel_price,hotel_amenities,hotel_description
HARD ROCK HOTEL GOA,Goa,India,4.2,"3,711","Free Wi-Fi,Free Parking,Restaurant",This 5 Star Resort in Goa is located in Calangute . Full Address of property is 370/14 Porba Vaddo Calangute Bardez Goa (View On Map). This Resort have 4.2 Out of 5 Rating where 5 /5 for Security & 4.4 /5 for Cleanliness & 4.4 /5 for Room . Key amenities of this property are Free Wi-Fi & Free Parking & Restaurant .
The Park Baga River Goa,Goa,India,4.4,"2,820","Doctor on Call,Free Wi-Fi,Restaurant","Location of the Hotel is Baga View On Map ( Dr.Constancio Mascarenhas River View,lane opp. Old Mackies SaturdayMarket, Baga- Arpora, Bardez- Goa ). It’s a 5 Star Hotel with overall Rating 4.4 Out of 5 where 5 /5 for Safety and Hygiene & 4.6 /5 for Hospitality & 4.5 /5 for Cleanliness . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant ."
Resort Rio,Goa,India,4.2,"4,230","Doctor on Call,Free Wi-Fi,Free Parking","This 5 Star Resort in Goa is located in North Goa . Full Address of property is Tambudki, Arpora, goa (View On Map). This Resort have 4.2 Out of 5 Rating where 4.4 /5 for Cleanliness & 4.3 /5 for Room & 4.3 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Luxury Private Pool Serviced Villa,Goa,India,NIL,"3,903","Kitchenette,Caretaker,Living Room","Location of the Villa is Calangute View On Map ( Gaura Vaddo, Calangute, Bardez Goa ). Top Facilities of this Villa are Kitchenette & Caretaker & Living Room ."
The Leela Goa,Goa,India,4.6,"9,000","Doctor on Call,Childcare Services,Free Wi-Fi","This 5 Star Hotel in Goa is located in Cavelossim Beach . Full Address of property is The Leela Goa Mobor, Cavelossim Goa (View On Map). This Hotel have 4.6 Out of 5 Rating where 5 /5 for Safety and Hygiene & 4.8 /5 for Cleanliness & 4.7 /5 for Facilities . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
"Taj Fort Aguada Resort & Spa, Candolim,Goa",Goa,India,4.6,"5,499","Doctor on Call,Free Airport Transfer,Childcare Services","Location of the Hotel is Sinquerim Beach View On Map ( Sinquerim, Bardez ). It’s a 5 Star Hotel with overall Rating 4.6 Out of 5 where 4.1 /5 for Safety and Hygiene & 4.8 /5 for Location & 4.7 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Airport Transfer & Childcare Services ."
Villa Donna,Goa,India,4.4,"2,792","Kitchenette,Caretaker,Free Wi-Fi","This 3 Star Apartment in Goa is located in Panjim . Full Address of property is H.NO 21/346/B-1 Dona Paula Taleigao Tiswadi, Panjim, Goa (View On Map). This Apartment have 4.4 Out of 5 Rating where 5 /5 for Safety and Hygiene & 4.9 /5 for Room & 4.6 /5 for Value for Money . Key amenities of this property are Kitchenette & Caretaker & Free Wi-Fi ."
DoubleTree by Hilton Goa - Panaji,Goa,India,4.4,"4,200","Doctor on Call,Childcare Services,Outdoor Sports","Location of the Hotel is Panjim View On Map ( Kadamba Plateau, Panjim Old Goa Bypass Road, Velha Goa, Panaji, 403006, India Survey no 34/1- B Chimbel, Tiswadi Goa ). It’s a 5 Star Hotel with overall Rating 4.4 Out of 5 where 4.7 /5 for Child friendliness & 4.6 /5 for Cleanliness & 4.5 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Childcare Services & Outdoor Sports ."
Lazy Bee Cottages,Goa,India,4.1,"1,773","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Resort in Goa is located in North Goa . Full Address of property is Rautawado, Near Nagoa Circle of Dreams, Arpora Nagoa Village Bardez Goa (View On Map). This Resort have 4.1 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.2 /5 for Security & 4.2 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Westwood Residence,Goa,India,3.9,"1,372","Childcare Services,Free Wi-Fi,Outdoor Sports","Location of the Hotel is North Goa View On Map ( 264/80 Alto-Savlo,Porvorim, Bardez Goa, ). It’s a 3 Star Hotel with overall Rating 3.9 Out of 5 where 4 /5 for Safety and Hygiene & 4.3 /5 for Value for Money & 4.3 /5 for Hospitality . Top Facilities of this Hotel are Childcare Services & Free Wi-Fi & Outdoor Sports ."
"Taj Exotica Resort & Spa,Salcete,Goa",Goa,India,4.9,"9,000","Doctor on Call,Childcare Services,Free Wi-Fi","This 5 Star Hotel in Goa is located in South Goa . Full Address of property is Calwaddo, Benaulim Beach, Salcete (View On Map). This Hotel have 4.9 Out of 5 Rating where 5 /5 for Safety and Hygiene & 4.9 /5 for Hospitality & 4.9 /5 for Cleanliness . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
Planet Hollywood Beach Resort,Goa,India,4.5,"4,840","Doctor on Call,Free Parking,Outdoor Sports","Location of the Resort is South Goa View On Map ( A 8, Asconwaddo, Uttorda Beach ). It’s a 5 Star Resort with overall Rating 4.5 Out of 5 where 4.5 /5 for Safety and Hygiene & 4.7 /5 for Room & 4.7 /5 for Hospitality . Top Facilities of this Resort are Doctor on Call & Free Parking & Outdoor Sports ."
"Taj Holiday Village Resort & Spa,Sinquerim,Goa",Goa,India,4.7,"11,229","Doctor on Call,Childcare Services,Free Wi-Fi","This 5 Star Hotel in Goa is located in Sinquerim Beach . Full Address of property is Sinquerim Beach, P O Candolim (View On Map). This Hotel have 4.7 Out of 5 Rating where 5 /5 for Safety and Hygiene & 4.8 /5 for Location & 4.7 /5 for Hospitality . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
Holiday Inn Resort,Goa,India,4.5,"4,549","Doctor on Call,Childcare Services,Free Wi-Fi","Location of the Hotel is Cavelossim Beach View On Map ( Cavelossim, Salcete ). It’s a 5 Star Hotel with overall Rating 4.5 Out of 5 where 5 /5 for Security & 4.6 /5 for Child friendliness & 4.6 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Childcare Services & Free Wi-Fi ."
Jungle Book,Goa,India,3.2,"1,209","Doctor on Call,Caretaker,Power Backup","Full Address of property is Waterfalls Road, Kulem, Dharbandora (View On Map). This Beach Hut have 3.2 Out of 5 Rating where 4.1 /5 for Food & 4 /5 for Location & 3.7 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Caretaker & Power Backup ."
Cidade De Goa - IHCL SeleQtions,Goa,India,4.7,"4,500","Free Parking,Outdoor Sports,Restaurant",Location of the Resort is Vainguinim Beach View On Map ( Vainguinim Beach ). It’s a 5 Star Resort with overall Rating 4.7 Out of 5 where 4.5 /5 for Cleanliness & 4.5 /5 for Location & 4.5 /5 for Child friendliness . Top Facilities of this Resort are Free Parking & Outdoor Sports & Restaurant .
Candolim Paradise Studio Apartment - Homestay,Goa,India,3.1,"1,016","Doctor on Call,Kitchenette,Caretaker","Full Address of property is Candolim-Calangute Beach Road, Candolim Near Delfino supermarket (View On Map). This Homestay have 3.1 Out of 5 Rating where 4.2 /5 for Value for Money & 4 /5 for Location & 3.8 /5 for Hospitality . Key amenities of this property are Doctor on Call & Kitchenette & Caretaker ."
W Goa,Goa,India,4.7,"9,549","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Vagator Beach View On Map ( Vagator Beach Road, Bardez ). It’s a 5 Star Hotel with overall Rating 4.7 Out of 5 where 4.8 /5 for Room & 4.7 /5 for Hospitality & 4.7 /5 for Cleanliness . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
ITC Grand Goa Resort & Spa,Goa,India,4.5,"7,600","Doctor on Call,Childcare Services,Free Wi-Fi","This 5 Star Resort in Goa is located in South Goa . Full Address of property is AROSSIM BEACH, CANSAULIM, SOUTH GOA 403 712 (View On Map). This Resort have 4.5 Out of 5 Rating where 5 /5 for Security & 4.8 /5 for Location & 4.6 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Childcare Services & Free Wi-Fi ."
Gulmohar Cottages Calangute Goa,Goa,India,3.2,"1,192","Doctor on Call,Caretaker,Living Room","Location of the Cottage is Calangute View On Map ( Gulmohar cottages, Calangute - Anjuna Rd, Calangute, Goa 403516 close to the Micheal Lobo office ). Top Facilities of this Cottage are Doctor on Call & Caretaker & Living Room ."
The Regale by Tunga,Mumbai,India,4.1,"4,029","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Mumbai is located in Andheri East . Full Address of property is Plot no. 31, Central Road, MIDC, Andheri East, Mumbai (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.3 /5 for Hospitality & 4.3 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Ramada Powai Hotel and Convention Centre,Mumbai,India,3.9,"3,570","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Powai View On Map ( Near The Residence Hotel and Apartments,Before Vihar Lake, Powai, Saki Vihar Road,Mumbai ). It’s a 4 Star Hotel with overall Rating 3.9 Out of 5 where 4.1 /5 for Cleanliness & 4.5 /5 for Safety & 4 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
Meluha - The Fern,Mumbai,India,4.5,"5,361","Doctor on Call,Free Wi-Fi,Free Parking","This 5 Star Hotel in Mumbai is located in Powai . Full Address of property is Central Avenue , Hiranandani Gardens , Powai (View On Map). This Hotel have 4.5 Out of 5 Rating where 4.6 /5 for Cleanliness & 4.7 /5 for Location & 4.6 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Ginger Mumbai Andheri,Mumbai,India,4.0,"2,004","Doctor on Call,Free Wi-Fi,Free Parking",Location of the Hotel is Vile Parle View On Map ( Ginger Mumbai Andheri Teli Gali Road Andheri East Mumbai 400069 ). It’s a 3 Star Hotel with overall Rating 4 Out of 5 where 4.1 /5 for Cleanliness & 4.3 /5 for Safety & 4.2 /5 for Security . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking .
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",Mumbai,India,4.1,"3,917","Doctor on Call,Free Wi-Fi,Free Parking","This 5 Star Hotel in Mumbai is located in Vile Parle . Full Address of property is Juhu Beach, Mumbai (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.2 /5 for Cleanliness & 5 /5 for Security & 4.6 /5 for Location . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Rodas - An Ecotel Hotel,Mumbai,India,4.3,"4,230","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Powai View On Map ( Central Avenue, Hiranandani Gardens, Powai, Mumbai - 400076 ). It’s a 3 Star Hotel with overall Rating 4.3 Out of 5 where 4.5 /5 for Cleanliness & 4.7 /5 for Location & 4.5 /5 for Room . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
VITS Mumbai International Airport T2,Mumbai,India,3.9,"5,799","Doctor on Call,Free Wi-Fi,Free Parking","This 4 Star Hotel in Mumbai is located in Near Mumbai Airport . Full Address of property is Andheri Kurla Road, International Airport Zone, Andheri (E), Mumbai (View On Map). This Hotel have 3.9 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.5 /5 for Safety & 4.3 /5 for Location . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Lalco Residency,Mumbai,India,4.1,"5,050","Kitchenette,Living Room,Power Backup","Location of the Apartment is Jogeshwari East View On Map ( Kalpataru Estate, Jogeshwari Vikhroli Link Road, Andheri (E), Mumbai 400093 ). It’s a 3 Star Apartment with overall Rating 4.1 Out of 5 where 4.5 /5 for Cleanliness & 5 /5 for Child friendliness & 4.7 /5 for Location . Top Facilities of this Apartment are Kitchenette & Living Room & Power Backup ."
The Orchid,Mumbai,India,4.1,"5,499","Doctor on Call,Free Wi-Fi,Restaurant","This 5 Star Hotel in Mumbai is located in Near Mumbai Airport . Full Address of property is Nehru Road, Vile Parle East, Adjacent to Domestic Airport, Mumbai (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.2 /5 for Cleanliness & 4.5 /5 for Location & 4.5 /5 for Security . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
Ramee Guestline Hotel Juhu,Mumbai,India,3.8,"4,136","Doctor on Call,,Childcare Services","Location of the Hotel is Vile Parle View On Map ( 462, A.B. Nair Road, Juhu, Mumbai ). It’s a 4 Star Hotel with overall Rating 3.8 Out of 5 where 5 /5 for Security & 5 /5 for Safety & 4.2 /5 for Location . Top Facilities of this Hotel are Doctor on Call & Personal Butler Services & Childcare Services ."
Goldfinch Hotel,Mumbai,India,3.9,"3,492","Free Wi-Fi,Free Parking,Restaurant","This 4 Star Hotel in Mumbai is located in Andheri East . Full Address of property is Plot 34/21, Central Road, MIDC, Andheri (East), Mumbai (View On Map). This Hotel have 3.9 Out of 5 Rating where 4 /5 for Cleanliness & 4 /5 for Food & 4 /5 for Security . Key amenities of this property are Free Wi-Fi & Free Parking & Restaurant ."
The Fern Goregaon,Mumbai,India,4.3,"4,823","Doctor on Call,Free Wi-Fi,Restaurant","Location of the Hotel is Goregaon View On Map ( 4/277, I.B Patel Road, Behind H.P Petrol Pump, Village Pahadi, Goregaon East, Mumbai - 400 063 ). It’s a 5 Star Hotel with overall Rating 4.3 Out of 5 where 4.5 /5 for Cleanliness & 4.5 /5 for Child friendliness & 4.5 /5 for Safety . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Restaurant ."
HOTEL WEGO,Mumbai,India,4.3,"2,715","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Mumbai is located in Near Mumbai Airport . Full Address of property is Lake Views Apartment, Near Marol Naka Metro Station, of Marol Maroshi Road Andheri East. (View On Map). This Hotel have 4.3 Out of 5 Rating where 4.4 /5 for Cleanliness & 5 /5 for Safety & 4.4 /5 for Security . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Grace Galaxy,Mumbai,India,3.9,"1,997","Doctor on Call,Kitchenette,Caretaker","Location of the Apartment is Bandra West View On Map ( CTS No F/741, S V Road 30th road Junction Next to Movie time bandra west ). It’s a 3 Star Apartment with overall Rating 3.9 Out of 5 where 4.1 /5 for Cleanliness & 4.3 /5 for Facilities & 4.2 /5 for Hospitality . Top Facilities of this Apartment are Doctor on Call & Kitchenette & Caretaker ."
Hotel Parle International,Mumbai,India,3.7,"2,538","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Mumbai is located in Near Mumbai Airport . Full Address of property is B N Agarwal Commercial Complex, Vile Parle East, Next to Dinanath Mangeshkar Hall. (View On Map). This Hotel have 3.7 Out of 5 Rating where 3.8 /5 for Cleanliness & 4.1 /5 for Location & 4 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Rama Krishna,Mumbai,India,3.9,"2,708","Doctor on Call,Free Parking,Restaurant","Location of the Hotel is Near Mumbai Airport View On Map ( 148, Nehru Road,Vile Parle (East)Mumbai ). Top Facilities of this Hotel are Doctor on Call & Free Parking & Restaurant ."
The Ambassador Mumbai,Mumbai,India,4.2,"4,804","Doctor on Call,Free Wi-Fi,Free Parking","This 4 Star Hotel in Mumbai is located in Churchgate . Full Address of property is Veer Nariman Road, Churchgate, Mumbai - Close to Marine Drive (View On Map). This Hotel have 4.2 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.7 /5 for Location & 4.1 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hotel Leafio,Mumbai,India,3.8,"1,680","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Near Mumbai Airport View On Map ( Sagar Tech Plaza Complex, Saki Naka Junction Andheri Kurla Road, Mumbai. ). It’s a 2 Star Hotel with overall Rating 3.8 Out of 5 where 4.1 /5 for Cleanliness & 4.6 /5 for Safety & 4.1 /5 for Security . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
GCC North Side Hotel,Mumbai,India,4.2,"2,826","Doctor on Call,Free Parking,Conference Room","This 3 Star Hotel in Mumbai is located in Mira Road East . Full Address of property is Near GCC Hotel and Club, off Mira Bhayander Road, Mira road east (View On Map). This Hotel have 4.2 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.3 /5 for Security & 4.3 /5 for Value for Money . Key amenities of this property are Doctor on Call & Free Parking & Conference Room ."
Orbit Home Luxury Service Apartments,Mumbai,India,4.6,"9,100","Kitchenette,Caretaker,Living Room","Location of the Apartment is Khar View On Map ( Darvesh Grand, 5th floor, 4th Road, Khar West, Mumbai, ). Top Facilities of this Apartment are Kitchenette & Caretaker & Living Room ."
"Evershine Resort, Mahabaleshwar",Mahabaleshwar,India,4.5,"10,998","Doctor on Call,Free Parking,Outdoor Sports","This 4 Star Resort in Mahabaleshwar is located in Central Mahabaleshwar . Full Address of property is CTS No. 182, S No 38, GAUTAM HOTEL ROAD, MAHABALESHWAR, Maharashtra 412803 (View On Map). This Resort have 4.5 Out of 5 Rating where 4.6 /5 for Cleanliness & 4.6 /5 for Child friendliness & 4.5 /5 for Location . Key amenities of this property are Doctor on Call & Free Parking & Outdoor Sports ."
SaffronStays Avabodha Villa,Mahabaleshwar,India,5.0,"20,396","Caretaker,Living Room,Housekeeping","Location of the Villa is Main Market, Bhim Nagar View On Map ( Taighat Wadi, Next to Jivanta Hotel, Panchgani ). Top Facilities of this Villa are Caretaker & Living Room & Housekeeping ."
IVY Park Resort,Mahabaleshwar,India,4.3,"4,041","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Resort in Mahabaleshwar is located in Bhose . Full Address of property is Near Mapro Garden, Mahabaleshwar ,panchagani road. (View On Map). This Resort have 4.3 Out of 5 Rating where 4.3 /5 for Cleanliness & 4.3 /5 for Hospitality & 4.3 /5 for Room . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Hill Top House,Mahabaleshwar,India,3.9,835,"Free Wi-Fi,Free Parking,Restaurant",Location of the Hotel is Dhangarwadi View On Map ( Bondarwadi village panchgani mahabaleshwar road near 1.5km from mapro garden. ). Top Facilities of this Hotel are Free Wi-Fi & Free Parking & Restaurant .
"Mount View Executive, The Valley Resort",Mahabaleshwar,India,3.3,"2,082","Doctor on Call,Free Wi-Fi,Outdoor Sports","This 3 Star Hotel in Mahabaleshwar is located in Main Market, Bhim Nagar . Full Address of property is Ganesh Peth , Ruighar, Near On Wheelz Amusiment Park, Panchgani (View On Map). This Hotel have 3.3 Out of 5 Rating where 3.9 /5 for Location & 3.5 /5 for Security & 3.4 /5 for Cleanliness . Key amenities of this property are Doctor on Call & Free Wi-Fi & Outdoor Sports ."
Symphony by Vista Rooms,Mahabaleshwar,India,3.7,"14,000","Caretaker,Living Room,Free Wi-Fi","Location of the Villa is Bhose View On Map ( 103 Windsor Park, Panchgani-Mahabaleshwar Road, Bhose, Panchgani- 412806 ). Top Facilities of this Villa are Caretaker & Living Room & Free Wi-Fi ."
Le Meridien Mahabaleshwar Resort and Spa,Mahabaleshwar,India,4.5,"13,500","Doctor on Call,Free Wi-Fi,Outdoor Sports","This 5 Star Resort in Mahabaleshwar is located in Central Mahabaleshwar . Full Address of property is 211/212, Mahabaleshwar-Medha Road (View On Map). This Resort have 4.5 Out of 5 Rating where 4.8 /5 for Cleanliness & 4.8 /5 for Location & 4.7 /5 for Room . Key amenities of this property are Doctor on Call & Free Wi-Fi & Outdoor Sports ."
Shree Samarth Villaa,Mahabaleshwar,India,4.3,"2,961","Kitchenette,Caretaker,Living Room",Location of the Villa is Central Panchgani View On Map ( 81 /10 of khinger road next to sharda Arogya Dham khinger Road panchgani ). Top Facilities of this Villa are Kitchenette & Caretaker & Living Room .
Otonia by Vista Rooms,Mahabaleshwar,India,2.3,"16,000","Doctor on Call,Kitchenette,Caretaker","Full Address of property is Masrani Villa, Survey no 22/3, Godavli Road, Near Bhartiya Vidyapeeth School, Panchghani, Taluka, Mahabaleshwar, District Satara, 412085 (View On Map). This Villa have 2.3 Out of 5 Rating where 3 /5 for Facilities & 3 /5 for Cleanliness & 3 /5 for Location . Key amenities of this property are Doctor on Call & Kitchenette & Caretaker ."
Prashant Cottage,Mahabaleshwar,India,4.1,"1,692","Doctor on Call,Caretaker,Living Room","Location of the Cottage is Central Mahabaleshwar View On Map ( Mahableshwar-Panchgani Road, near Suman Raj, Venna Lake, Mahabaleshwar. ). Top Facilities of this Cottage are Doctor on Call & Caretaker & Living Room ."
CasaMo Silver Oak by Vista Rooms,Mahabaleshwar,India,NIL,"21,000","Doctor on Call,Kitchenette,Caretaker","Full Address of property is Avakali Village, Old mahabaleshwar Nakinda road, Mahabaleshwar (View On Map). Key amenities of this property are Doctor on Call & Kitchenette & Caretaker ."
Bliss County Resort - Pure Veg,Mahabaleshwar,India,4.2,"2,475","Free Wi-Fi,Free Parking,Restaurant","Location of the Resort is Avakali View On Map ( 27/5 Near Patel DP, Duchess Road, Nakinda Village, Mahabaleshwar ). It’s a 3 Star Resort with overall Rating 4.2 Out of 5 where 4.3 /5 for Cleanliness & 4.5 /5 for Room & 4.4 /5 for Hospitality . Top Facilities of this Resort are Free Wi-Fi & Free Parking & Restaurant ."
Hotel Vyankatesh (Complimentary Breakfast),Mahabaleshwar,India,3.7,"2,106","Doctor on Call,Free Wi-Fi,Restaurant","This 3 Star Hotel in Mahabaleshwar is located in Central Mahabaleshwar . Full Address of property is 141, Main Market, Near Police Station, Walking from Bus Stop, Hotel is located in No Vehicle Zone. (View On Map). This Hotel have 3.7 Out of 5 Rating where 3.9 /5 for Cleanliness & 4.3 /5 for Location & 3.9 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
Beloshi's Cliffhanger,Mahabaleshwar,India,NIL,"42,300","Kitchenette,Caretaker,Housekeeping","Location of the Villa is Panchgani View On Map ( Khinger Rd, near Sharda Arogya Dham, Panchgani, Maharashtra 412805, India ). Top Facilities of this Villa are Kitchenette & Caretaker & Housekeeping ."
Hotel J's Excellency,Mahabaleshwar,India,4.2,"3,753","Free Wi-Fi,Restaurant,Conference Room","This 3 Star Hotel in Mahabaleshwar is located in Near Main Market . Full Address of property is 280/281, Murry Peth, Mahabaleshwar (View On Map). This Hotel have 4.2 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.3 /5 for Hospitality & 4.2 /5 for Location . Key amenities of this property are Free Wi-Fi & Restaurant & Conference Room ."
Hotel Millennium Park,Mahabaleshwar,India,4.3,"2,961","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Hotel is Panchgani View On Map ( Godavali Village, Behind Bharati Vidyapith , Panchgani, Mahabaleshwar, Maharashtra, India. ). It’s a 3 Star Hotel with overall Rating 4.3 Out of 5 where 4 /5 for Cleanliness & 4.2 /5 for Security & 4.1 /5 for Child friendliness . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Free Parking ."
SaffronStays Verandah by the Valley-2 BHK Luxury Villa,Mahabaleshwar,India,4.4,"5,475","Doctor on Call,Caretaker,Living Room","This 4 Star Villa in Mahabaleshwar is located in Central Panchgani . Full Address of property is S.NO.354, GODAVALI TAL, M SHWAR 415805 (View On Map). This Villa have 4.4 Out of 5 Rating where 4.8 /5 for Cleanliness & 5 /5 for Location & 4.8 /5 for Facilities . Key amenities of this property are Doctor on Call & Caretaker & Living Room ."
SaffronStays Rockside,Mahabaleshwar,India,NIL,"13,748","Caretaker,Living Room,Power Backup","Location of the Villa is Panchgani View On Map ( Rockside, Table land road, Panchgani ). Top Facilities of this Villa are Caretaker & Living Room & Power Backup ."
SaffronStays Dulwich Cottage,Mahabaleshwar,India,5.0,"10,998","Caretaker,Living Room,Power Backup","This 4 Star Villa in Mahabaleshwar is located in Main Market, Bhim Nagar . Full Address of property is Dulwich Cottage, Near Dulwich House, Next to Parsi Point, Ganeshpeth (View On Map). This Villa have 5 Out of 5 Rating where 5 /5 for Cleanliness & 5 /5 for Facilities & 4.8 /5 for Location . Key amenities of this property are Caretaker & Living Room & Power Backup ."
Hotel Sunny Midtown,Mahabaleshwar,India,3.2,"1,790","Free Wi-Fi,Room Service,Power Backup","Location of the Hotel is Central Mahabaleshwar View On Map ( Near State Bank of India Market, Mahabaleshwar ). Top Facilities of this Hotel are Free Wi-Fi & Room Service & Power Backup ."
West End Hotel,Matheran,India,4.2,"2,919","Doctor on Call,Restaurant,Conference Room","Full Address of property is R.C.Church Road, Next to Matheran Police Station (View On Map). This Hotel have 4.2 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.3 /5 for Hospitality & 4.3 /5 for Location . Key amenities of this property are Doctor on Call & Restaurant & Conference Room ."
Hotel Point View,Matheran,India,3.0,"2,171","Doctor on Call,Free Wi-Fi,Outdoor Sports","Location of the Hotel is Kasturba Road View On Map ( M.G. Road, Near Khandala point, Matheran ). It’s a 3 Star Hotel with overall Rating 3 Out of 5 where 3.8 /5 for Location & 3.6 /5 for Food & 3.6 /5 for Hospitality . Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Outdoor Sports ."
Ashirwad Cottage,Matheran,India,3.7,835,"Doctor on Call,Caretaker,Living Room","Full Address of property is M.G. Road, Main Market Matheran, Bazaar Peth,e sector, Matheran (View On Map). This Cottage have 3.7 Out of 5 Rating where 4.3 /5 for Value for Money & 4.2 /5 for Security & 4.1 /5 for Location . Key amenities of this property are Doctor on Call & Caretaker & Living Room ."
Kshitij Cottage,Matheran,India,4.5,"1,269","Doctor on Call,Caretaker,Power Backup","Location of the Cottage is Neral - Matheran Road View On Map ( kshitij Cottage, Indira gandhi nagar ). Top Facilities of this Cottage are Doctor on Call & Caretaker & Power Backup ."
Altaf motel,Matheran,India,4.0,"1,021","24-hour Room Service,Power Backup,Air Conditioning","Full Address of property is Matheran Near Union bank, G sector, taluka Karjat distt. 410201. (View On Map). This Guest House have 4 Out of 5 Rating where 3.8 /5 for Cleanliness & 4.3 /5 for Room & 4.1 /5 for Value for Money . Key amenities of this property are 24-hour Room Service & Power Backup & Air Conditioning ."
Hunjar House,Matheran,India,4.3,"1,021","Free Wi-Fi,Free Parking,Room Service","Location of the Hotel is Near Matheran Train Station View On Map ( MG Road, Opp. Matheran Railway Station ). Top Facilities of this Hotel are Free Wi-Fi & Free Parking & Room Service ."
"Relax Inn, Matheran",Matheran,India,3.7,"1,277","Doctor on Call,Room Service,Air Conditioning","Full Address of property is AT Matheran B Sec Taluka - karjat Dist - RA MTRN, MH 1/0234, 410201 (View On Map). This Guest House have 3.7 Out of 5 Rating where 4.6 /5 for Hospitality & 4.1 /5 for Child friendliness & 3.8 /5 for Location . Key amenities of this property are Doctor on Call & Room Service & Air Conditioning ."
Hotel Royal- Pure Veg,Matheran,India,3.1,"2,419","Doctor on Call,Childcare Services,Free Wi-Fi","Location of the Resort is Near Matheran Train Station View On Map ( Kasturba Road, Near Matheran Railway Station ). It’s a 3 Star Resort with overall Rating 3.1 Out of 5 where 4.1 /5 for Location & 3.9 /5 for Food & 3.6 /5 for Hospitality . Top Facilities of this Resort are Doctor on Call & Childcare Services & Free Wi-Fi ."
Hiral Valley View Residency,Matheran,India,3.2,"1,370","Doctor on Call,Free Wi-Fi,Room Service","Full Address of property is Plot no.92 ,Bajar peth,Hutatma Bhai Kotwal Road,Matheran (View On Map). This Hotel have 3.2 Out of 5 Rating where 4.5 /5 for Security & 3.3 /5 for Food & 3.3 /5 for Room . Key amenities of this property are Doctor on Call & Free Wi-Fi & Room Service ."
Green Heaven Cottage - Non Ac Rooms,Matheran,India,3.2,877,"Room Service,Air Conditioning","Location of the Guest House is MG Road View On Map ( Heaven Cottage, At- Matheran, D Sec Taluka, Karjat District, Valmik Nagar, Matheran, Maharashtra, 410102 ). Top Facilities of this Guest House are Room Service & Air Conditioning ."
